"","austlii_id","sentence_window","text","intent_to_evaluate","law"
"1","alacfa2006522","plus_minus_0","88 Consequently, s 18N(9) protects a broader category of information than other provisions of [Anti-Money Laundering and Counter-Terrorism Financing Act 2006] , which protect information contained in a ‘credit report’ or ‘credit information file’",NA,"[Anti-Money Laundering and Counter-Terrorism Financing Act 2006]"
"2","sa1990195","plus_minus_0","(139) Similar problems also exist under the provisions in the CSS and PSS public sector funds, under which an individual may be eligible for benefits if they were the biological, adopted, ex-nuptial or step-child, or a ward, of the member of the fund, or his or her opposite-sex spouse who lives with the member or is wholly or substantially dependent on him or her at the time of death: Commonwealth [Superannuation Act ]1976 (Cth) s3(1)",NA,"[Superannuation Act ]"
"3","ioiasa1986436","plus_minus_0","(43) While this provides one avenue for staff of these organisations and others to expose fraud, impropriety and waste, the [Inspector-General of Intelligence and Security Act 1986] 1986 (Cth) does not provide whistleblower protection for individuals making such complaints, although [Inspector-General of Intelligence and Security Act 1986] provides some protection from civil actions",NA,"[Inspector-General of Intelligence and Security Act 1986]"
"4","mia1909170","plus_minus_0","106)) Where the insured had failed to notify the insurer of a certain fact, the current approach in [Marine Insurance Act 1909] would allow an insured's failure to notify to be 'excused",NA,"[Marine Insurance Act 1909]"
"5","fla1975114","plus_minus_0","20 The provisions of the [Family Law Act 1975] indicate a marked shift from a philosophy that marriage imposes a continuing and possibly life-long obligation of support on the husband, to one which restricts the maintenance obligation by reference to needs and resources, and emphasises its rehabilitative function",NA,"[Family Law Act 1975]"
"6","ca1981107","plus_minus_0","The basic options for dealing with the ranking of claims are: to bring admiralty actions under the ordinary rules of insolvency, in particular the Bankruptcy Act 1966 (Cth) and the [Companies Act 1981] (Cth) and its State and Territory equivalents; to make no provision; to codify the law, either as it presently exists or with modifications; to deal with specific problems that have arisen or might be expected to arise, otherwise preserving (but not attempting to state) the existing law",NA,"[Companies Act 1981]"
"7","fla1975114","plus_minus_0","(146) [Family Law Act 1975] (Cth) [Family Law Act 1975] (147) T Altobelli, ‘Family Violence and Parenting: Future Directions in Practice’ (Paper presented at AIJA Family Violence Conference, Brisbane, 2 October 2009), 43",NA,"[Family Law Act 1975]"
"8","fla1975114","plus_minus_0","Recommendation 16–7 Application forms for protection orders under state and territory family violence legislation should include an option for applicants to indicate their preference that there should be no exception in the protection order for contact required or authorised by a parenting order made under the [Family Law Act 1975] (Cth)",NA,"[Family Law Act 1975]"
"9","ca2001172","plus_minus_0","The [Corporations Act 2001] simply states that civil penalty applications be dealt with according to the civil rules of procedure",NA,"[Corporations Act 2001]"
"10","ca2001172","plus_minus_0","Although the [Corporations Act 2001] does not specifically exclude the use of both penalties for the same conduct, ASIC states that it would be most unusual that there would be sufficient regulatory impact to warrant pursuit of both remedies, particularly in light of the fact that regulators have a finite amount of resources and are subject to scrutiny from the courts, Parliament and the public",NA,"[Corporations Act 2001]"
"11","fla1975114","plus_minus_0","For example, the effects of children witnessing violence and being otherwise affected by it can be considered under a current provision of the [Family Law Act 1975]",NA,"[Family Law Act 1975]"
"12","leica2006419","plus_minus_0","(77) Second, the making of a record or disclosure is allowed where it is for the purposes of the ABF Act (or a legislative instrument under the Act) or for the purposes of the [Law Enforcement Integrity Commissioner Act 2006] (Cth), which is an act facilitating the investigation and prosecution of corruption in law enforcement agencies",NA,"[Law Enforcement Integrity Commissioner Act 2006]"
"13","bsa1992214","plus_minus_0","The ABA noted that the availability of primarily criminal penalties for major breaches under the [Broadcasting Services Act 1992] (Cth) is problematic for a number of reasons including: that many of the important offences contain subjective elements which make successful criminal prosecution difficult, and the absence of ‘moral culpability’ for many of the offences tends to reduce willingness to enforce criminal penalties",TRUE,"[Broadcasting Services Act 1992]"
"14","rca1902224","plus_minus_0","115 The [Royal Commissions Act 1902] does not refer expressly to public interest immunity",NA,"[Royal Commissions Act 1902]"
"15","psa1999152","plus_minus_0","(37) The Tribunal observed that reading down or severing the offending part of the [Public Service Act 1999] ‘would be no easy matter’",TRUE,"[Public Service Act 1999]"
"16","pa1990109","plus_minus_0","(37) [Patents Act 1990] (Cth) [Patents Act 1990] (38) The [Patents Act 1990] does not provide for a divisional application based on a provisional application: Ibid [Patents Act 1990] ; IP Australia, Patent Manual of Practice and Procedure Volume 2: National (2002), (9",NA,"[Patents Act 1990]"
"17","fcoaa1976249","plus_minus_0","20-5 In those cases in which a first appeal can be taken from a trial judge to a Full Court of the Federal Court only by leave of the Court, the [Federal Court of Australia Act 1976] should be amended to: (a) set out non-exhaustive criteria by which the discretion to grant or refuse leave is exercised; (b) provide that an application for leave to appeal shall be determined by a Court that does not include the judge whose decision is subject to the application for leave to appeal; and (c) provide that an ord",TRUE,"[Federal Court of Australia Act 1976]"
"18","fla1975114","plus_minus_0","When a state or territory court uses [Family Law Act 1975] to vary a parenting order, the best interests of the child are not the paramount consideration—rather, the safety of the person and any children from family violence is paramount",NA,"[Family Law Act 1975]"
"19","ohasia1993475","plus_minus_0","218 AMSA also provides inspectorate services under the [Occupational Health and Safety (Maritime Industry) Act 1993] (Cth)",NA,"[Occupational Health and Safety (Maritime Industry) Act 1993]"
"20","dpata1990349","plus_minus_0","(452) However, such overseas acts and practices may be interferences with privacy if they: breach the TFN guidelines, or involve an unauthorised requirement or request for disclosure of an individual’s TFN; breach [Data-matching Program (Assistance and Tax) Act 1990] of the [Data-matching Program (Assistance and Tax) Act 1990] or the data-matching guidelines; constitute a breach of the guidelines under s 135AA of the National Health Act; or constitute a credit reporting infringement by a credit reporting ag",NA,"[Data-matching Program (Assistance and Tax) Act 1990]"
"21","taa1953269","plus_minus_0","(163) [Taxation Administration Act 1953] (Cth), [Taxation Administration Act 1953] (164) See V Morabito, Will the New Millennium Breathe New Life into Section 252(1)(j) of the Income Tax Assessment Act 1936 (Cth)? (2000) 18 Company and Securities Law Journal 248",NA,"[Taxation Administration Act 1953]"
"22","aa1986114","plus_minus_0","67 In consultations and submissions the view was strongly expressed that the passage of the [Australia Act 1986] (Cth) had made s 39(2)(a) obsolete and that the provision should be repealed",NA,"[Australia Act 1986]"
"23","antsaa1999357","plus_minus_0","(130) [A New Tax System (Family Assistance) Act 1999] (Cth) [A New Tax System (Family Assistance) Act 1999] , [A New Tax System (Family Assistance) Act 1999] , [A New Tax System (Family Assistance) Act 1999] , 41, 43, 49",NA,"[A New Tax System (Family Assistance) Act 1999]"
"24","ca191482","plus_minus_0","(59) [Crimes Act 1914] (Cwlth), [Crimes Act 1914] (60) Commonwealth Prisoners Act 1967 (Cwlth), s",NA,"[Crimes Act 1914]"
"25","ca191482","plus_minus_0","However, section 79 of the [Crimes Act 1914] applies the same penalty to Person B for the mere receipt of information from Person A, before Person B has formed an intention to communicate that information to Person C",TRUE,"[Crimes Act 1914]"
"26","ea199580","plus_minus_0","70 A certificate under [Evidence Act 1995] is not available for evidence given by a defendant which is evidence that the defendant did an act the doing of which is a fact in issue or had a state of mind the existence of which is a fact in issue",NA,"[Evidence Act 1995]"
"27","dda1992264","plus_minus_0","(25) [ Disability Discrimination Act 1992] (Cth) [ Disability Discrimination Act 1992] 40",NA,"[ Disability Discrimination Act 1992]"
"28","ca191482","plus_minus_0","37 In response to IP 29, stakeholders expressed support for [Crimes Act 1914] of the [Crimes Act 1914] to be amended to allow a court to impose an aggregate sentence for a course of criminal conduct comprised of different but related offences, notwithstanding that those offences were not against the same provision of a Commonwealth law",TRUE,"[Crimes Act 1914]"
"29","fla1975114","plus_minus_0","Family Violence Legislation and Parenting Orders Proposal 8–1 State and territory child protection laws should be amended to require a child protection agency that advises a parent to seek a protection order under state or territory family violence legislation for the purpose of protecting the child to provide written advice to this effect to ensure that a federal family court does not construe the parent’s action as a failure to ‘facilitate, and encourage, a close and continuing relationship between the ch",NA,"]"
"30","mpa2013191","plus_minus_0","(167) Ibid [Maritime Powers Act 2013] (168) Ibid [Maritime Powers Act 2013] –(b)",NA,"[Maritime Powers Act 2013]"
"31","cfacga1995489","plus_minus_0","However, the Commonwealth Act prohibits the possession or control of Category 1 Restricted and Category 2 Restricted publications, X 18+ films, and RC material by persons in prescribed areas of the Northern Territory: [Classification (Publications, Films and Computer Games) Act 1995] (Cth) [Classification (Publications, Films and Computer Games) Act 1995] - [Classification (Publications, Films and Computer Games) Act 1995]",NA,"[Classification (Publications, Films and Computer Games) Act 1995]"
"32","rca1902224","plus_minus_0","(88) The rules relating to the recovery of costs of proceedings under the [Royal Commissions Act 1902] , therefore, may differ depending on where the charges are heard",NA,"[Royal Commissions Act 1902]"
"33","patcpa1975730","plus_minus_0","(63) [Postal and Telecommunications Commissions (Transitional Provisions) Act 1975] (Cth) [Postal and Telecommunications Commissions (Transitional Provisions) Act 1975] (64) See, eg, Environment Protection and Biodiversity Conservation Act 1999 (Cth) ss 189B, 251(3), 324R, 341R",NA,"[Postal and Telecommunications Commissions (Transitional Provisions) Act 1975]"
"34","cmislplca1992638","plus_minus_0","(38) See eg, Building and Construction Industry Improvement Act 2005 (Cth) s 65(4); [Coal Mining Industry (Long Service Leave) Payroll Levy Collection Act 1992] (Cth) [Coal Mining Industry (Long Service Leave) Payroll Levy Collection Act 1992] ; Taxation Administration Act 1953 (Cth) s 3C(2A)",NA,"[Coal Mining Industry (Long Service Leave) Payroll Levy Collection Act 1992]"
"35","aa1988115","plus_minus_0","The question left open by Allsop J in the Genco Leader was adverted to by Kiefel J at 149 (92) where her Honour observed; ‘The ratio of The Genco Leader concerns the connexion between the property and the general maritime claim referred to in [Admiralty Act 1988] The reference in (20) of that decision, as to whether bunkers might come within the description of ""property"" in [Admiralty Act 1988] , does not form part of its ratio",NA,"[Admiralty Act 1988]"
"36","antsasta1999402","plus_minus_0","2 of the Criminal Code; (dac) decisions under Division 105 of the Criminal Code; (da) a privative clause decision within the meaning of subsection 474(2) of the Migration Act 1958; (db) a purported privative clause decision within the meaning of section 5E of the Migration Act 1958; (e) decisions making, or forming part of the process of making, or leading up to the making of, assessments or calculations of tax, charge or duty, or decisions disallowing objections to assessments or calculations of tax, charg",NA,"]"
"37","pa1990109","plus_minus_0","Patents and Genetic Research [Patents Act 1990] considers a range of issues with respect to research involving genetic materials and technologies",NA,"[Patents Act 1990]"
"38","fmaa1999426","plus_minus_0",") The [Federal Magistrates (Consequential Amendments) Act 1999] (Cth) came into operation on 23 December 1999",NA,"[Federal Magistrates (Consequential Amendments) Act 1999]"
"39","dua1952245","plus_minus_0","[Defence (Special Undertakings) Act 1952] , [Defence (Special Undertakings) Act 1952] 52",NA,"[Defence (Special Undertakings) Act 1952]"
"40","ea199580","plus_minus_0","Application of the [Evidence Act 1995] (Cth) 2",NA,"[Evidence Act 1995]"
